Chinese,English,Frequency Count,Indonesia
的,of,3957141,dari
我,I,3669472,SAYA
你,you,3282942,Anda
了,Be,2141739,Menjadi
是,yes,1670639,Ya
在,exist,1023023,ada
他,he,904210,Dia
我们,us,827393,kita
不,No,725410,TIDAK
吗,?,652753,?
好,good,558010,Bagus
什么,What,534934,Apa
有,have,511680,memiliki
就,At once,504482,Sekaligus
吧,Bar,502836,Batang
她,she,488294,dia
这,this,440271,ini
知道,Know,437631,Tahu
说,explain,413852,menjelaskan
都,All,413654,Semua
去,go,370927,pergi
很,very,365403,sangat
啊,ah,358257,Ah
要,want,352653,ingin
也,also,336670,Juga
他们,them,330294,mereka
和,and,323973,Dan
那,That,323364,Itu
想,think,317123,memikirkan
人,people,315856,rakyat
会,meeting,312399,pertemuan
一个,one,286202,satu
来,Come,279006,Datang
把,Bundle,259336,Bundel
对,right,257560,Kanan
没有,No,257229,TIDAK
做,Do,256927,Melakukan
不是,no,253201,TIDAK
让,let,235971,membiarkan
给,Give,232587,Memberi
可以,Can,213363,Bisa
你们,you,207368,Anda
呢,Woolen cloth,203137,Kain wol
但,but,200270,Tetapi
到,arrive,195057,tiba
还,return,192818,kembali
现在,Now,191204,Sekarang
这个,this,184608,ini
能,able,183817,mampu
怎么,how,174335,Bagaimana
就是,that is,174001,yaitu
跟,and,172998,Dan
如果,if,171340,jika
没,without,171205,tanpa
它,it,170019,dia
走,Walk,169161,Berjalan
上,superior,163659,unggul
得,have to,157393,harus
被,quilt,156912,selimut
这里,here,155860,Di Sini
这样,so,154329,Jadi
个,indivual,148111,individu
看,look,142855,Lihat
事,thing,136748,benda
自己,Own,134251,Memiliki
着,Be,133440,Menjadi
谁,who,127180,WHO
过,Pass,126905,Lulus
不会,Won't,126661,Tidak akan
告诉,Tell,121954,Memberi tahu
为什么,Why,119165,Mengapa
不能,cannot,118579,tidak bisa
真的,real,117819,nyata
先生,gentlemen,115604,Tuan-tuan
只是,only,115329,hanya
不要,don't want,114532,tidak mau
这是,This is,113425,Ini
已经,already,111924,sudah
再,Again,108389,Lagi
哦,oh,107476,Oh
需要,need,104694,membutuhkan
因为,because,103803,Karena
谢谢,Thanks,103359,Terima kasih
像,picture,102722,gambar
这么,so,100276,Jadi
可能,possible,98736,mungkin
但是,but,97940,Tetapi
那个,that,97172,itu
所以,so,95494,Jadi
喜欢,like,94248,menyukai
又,again,92798,lagi
叫,Call,92723,Panggilan
快,quick,92473,cepat
我要,I want,91413,Saya ingin
觉得,feel,90238,merasa
别,Don't,89878,Jangan
听,listen,88997,mendengarkan
找,try to find,88902,mencoba untuk menemukan
里,inside,88316,di dalam
还有,besides,86154,di samping itu
时候,when,85885,Kapan
东西,thing,85443,benda
等,wait,84043,Tunggu
死,die,83694,mati
多,many,83326,banyak
从,from,82805,dari
我会,I can,82721,Saya bisa
一起,Together,82570,Bersama
应该,should,80917,sebaiknya
我們,us,80892,kita
这些,These,80491,Ini
请,please,78036,Tolong
孩子,child,77837,anak
看到,See,76397,Melihat
一下,one time,75952,suatu waktu
那么,So,75600,Jadi
为,for,75445,untuk
嗎,?,75041,?
而,and,73889,Dan
您,you,71712,Anda
才,talent,71045,bakat
用,use,70127,menggunakan
还是,still,69657,tetap
嗯,Um,68924,Um
问题,question,68808,pertanyaan
工作,Work,68195,Bekerja
一样,Same,67580,Sama
呀,ah,66299,Ah
开始,start,65701,awal
吃,eat,65392,makan
嘿,Hey,64649,Hai
当,when,64152,Kapan
真,real,63782,nyata
中,middle,62747,tengah
然后,Then,62651,Kemudian
看看,have a look,62631,lihatlah
說,explain,62539,menjelaskan
地方,place,61961,tempat
一定,must,61403,harus
将,Will,61310,Akan
希望,hope,61212,harapan
朋友,friend,61124,teman
今天,today,59831,Hari ini
拿,take,59701,mengambil
一,one,59154,satu
啦,La,59038,La
事情,matter,58749,urusan
一直,Always,58600,Selalu
所有,all,58300,semua
找到,turn up,57999,muncul
什麼,What,57953,Apa
哪,where,57922,Di mana
当然,certainly,57824,tentu
们,People,57747,Rakyat
回来,return,57701,kembali
不想,In no mood,57531,Tidak ada suasana hati
更,Even,56704,Bahkan
最,most,56437,paling
帮,help,56384,membantu
没事,fine,54978,Bagus
只,Only,54737,Hanya
那些,Those ones,54687,Itu mereka
可,Can,54677,Bisa
明白,clear,54299,jernih
的话,if,54266,jika
爸爸,dad,54140,ayah
下,Down,54021,Turun
太,too,53888,juga
离开,leave,53576,meninggalkan
一切,everything,53550,semuanya
时间,time,53544,waktu
相信,believe,53265,meyakini
妈妈,Mother,52775,Ibu
想要,want to,52767,ingin
爱,like,52273,menyukai
发生,occur,52014,terjadi
打,beat,51894,mengalahkan
点,point,51607,titik
來,Come,51606,Datang
钱,money,51381,uang
大,big,51218,besar
起来,stand up,51203,berdiri
真是,Really,50761,Benar-benar
你好,Hello,50640,Halo
抱歉,Feel sorry,50333,Merasa kasihan
必须,must,50284,harus
认为,think,50036,memikirkan
一点,a little,49989,sedikit
非常,Very,49809,Sangat
那里,There,48875,Di sana
对不起,sorry,48834,Maaf
天,sky,48822,langit
也许,Maybe,48806,Mungkin
大家,Everyone,48356,Setiap orang
哪里,where,48077,Di mana
有人,Someone,48030,Seseorang
该,Should,47800,Sebaiknya
意思,mean,47296,berarti
杀,kill,45836,membunuh
准备,Prepare,45490,Mempersiapkan
并,and,45252,Dan
出来,come out,45071,keluar
与,and,43845,Dan
时,hour,43426,jam
不过,but,43421,Tetapi
一些,Some,43319,Beberapa
为了,for,42835,untuk
带,bring,42790,membawa
女人,woman,42510,wanita
这儿,here,41851,Di Sini
后,back,41251,kembali
只有,only,41172,hanya
过来,come over,41005,datang
比,Compare,40956,Membandingkan
一次,once,40766,sekali
得到,get,39988,mendapatkan
и,bleak,39923,suram
很多,a lot of,39668,banyak sekali
任何,any,39594,setiap
这种,This,39590,Ini
小,Small,39473,Kecil
怎么样,How about it,39364,Bagaimana menurut anda?
對,right,38384,Kanan
感觉,Feel,38329,Merasa
年,Year,38181,Tahun
是不是,Yes or no,37975,Ya atau tidak
以为,Think,37929,Memikirkan
而且,and,37779,Dan
前,forward,37674,maju
生活,Life,37632,Kehidupan
男人,man,37624,pria
之前,Before,37558,Sebelum
喂,Hello,37491,Halo
问,ask,37160,bertanya
发现,Discover,37040,Menemukan
噢,oh,36705,Oh
可是,But,36669,Tetapi
快点,hurry up,36485,ayo cepat
嗨,Hi,36184,Hai
妈,mom,36011,Mama
两个,two,35966,dua
不用,Need not,35781,Tak perlu
地,land,35498,tanah
向,Towards,35398,Terhadap
名字,name,35374,nama
没错,Right,35015,Benar
见,See,34008,Melihat
世界,world,33790,dunia
沒,without,33365,tanpa
记得,Remember,33268,Ingat
住,live,33258,hidup
新,new,33132,baru
不错,good,33113,Bagus
肯定,affim,33061,menegaskan
最好,most,33033,paling
不行,no,32963,TIDAK
等等,etc.,32945,dll.
嘛,Well,32723,Dengan baik
出去,go out,32723,keluar
么,What's wrong?,32274,Ada apa?
先,First,32196,Pertama
為,for,32036,untuk
亲爱,dear,31933,Sayang
或,or,31727,atau
他們,them,31420,mereka
担心,Worry,31339,Khawatir
如何,how,31320,Bagaimana
到底,in the end,31107,pada akhirnya
